"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","tv_S","ooh_S","print_S","facebook_S","cluster","top_sol"
"1","1_27_11",0,0.6035532307407,12.1686544302923,17.2801361667253,2.2768999280771,0.102658851084395,0.0701921049491063,0.167445703462965,0.592447977497918,3,FALSE
"2","1_30_8",0,0.650458491314861,12.1686539931133,17.2801358166678,2.27689966642064,0.0559938418047473,0,0.104891092232201,0.476376624326211,3,FALSE
"3","1_32_11",0,0.288103292724629,12.1686582652925,17.2801369945592,2.27690097640269,0.510349576609215,0.93633399397597,0.378035604974592,0.807360229388444,2,FALSE
"4","1_33_5",0,0.649192293902844,12.1686540649969,17.2801359827927,2.27689968315405,0.0670376876009689,0,0.104891092232201,0.476376624326211,3,FALSE
"5","1_33_8",0,0.539031933745435,12.1686545066011,17.2801307961514,2.27690053343612,0.0532059077307665,0.406189306832684,1,0.411236362731207,1,FALSE
"6","1_35_10",0,0.513209862159958,12.168653907651,17.2801351537495,2.27689991766168,0.170360883998949,0.148954129531581,0.115829493714737,0.458699135117544,3,FALSE
"7","1_41_1",0,0.455632860057682,12.1686542530406,17.2801339115659,2.27690018913287,0.280094514728306,0.243068431634919,0.174125374078197,0.410234729239856,3,FALSE
"8","1_41_4",0,0.514170741016096,12.168653497507,17.2801347746439,2.27689983375789,0.0921808751507121,0.148954129531581,0.103497760122667,0.458699135117544,3,FALSE
"9","1_41_7",0,0.416395740232532,12.1686546235906,17.2801358907638,2.27690048978772,0.239488673556293,0.349307793442618,0.0529921689259205,0.677994069412604,4,FALSE
"10","1_43_6",0,0.30519280516865,12.1686549720054,17.2801349534359,2.27690054644335,0.125976271168497,0.676464187058659,0.213278746802131,0.535859811178296,4,TRUE
"11","1_45_7",0,0.479105310060835,12.1686546636096,17.2801343522542,2.27690089471603,0.0600264933690646,0.342728056049797,0.0909429160676486,1,4,FALSE
"12","1_46_10",0,0.506602829478968,12.1686527181398,17.2801344116489,2.27689968925916,0,0.151020325832689,0.0686556777770417,0.416892056923376,3,FALSE
"13","1_46_7",0,0.233758195073458,12.6499265899259,16.7155737948064,2.27690071392058,0.481929431646031,0.93633399397597,0.183001698711189,0.555880397942513,2,FALSE
"14","2_28_4",0,0.263833907446069,12.2273086461937,16.5916143949864,2.2797107961053,0.778872396707963,0.704265168300587,0.154613625394106,0.139139700197907,5,FALSE
"15","2_29_11",0,0.22270448063019,12.6166193835752,16.0604013358688,2.27971066423051,0.450432390511163,0.695844341984102,0.12164604219823,0.0860767168086809,6,FALSE
"16","2_31_11",0,0.280539802659063,12.2273098221106,16.5916189698981,2.27971081905119,0.673352028406371,0.861680318858945,0.531427758489082,0.174007996490708,5,FALSE
"17","2_32_8",0,0.233033446261532,12.6166194055362,16.0604016310876,2.27971065788079,0.477407280443865,0.691166675810783,0.171145169183987,0.0524488458654477,6,FALSE
"18","2_33_10",0,0.25483751502034,12.1686574068253,17.2801393262313,2.27690074921132,0.404699302769539,0.861276130582362,0.357002453089573,0.329811830673002,6,FALSE
"19","2_34_10",0,0.246735532939774,12.4958341342651,16.005053878311,2.2764480172594,0.436888479514758,0.668545781773018,0.216716970859468,0.0423786871598211,6,FALSE
"20","2_34_4",0,0.308781419997889,12.1686561169375,17.280134772568,2.27690099000655,0.559462708838095,0.572497782086576,0.159735510474622,0.340416422506597,5,FALSE
"21","2_35_4",0,0.257143138211143,12.3464173871684,15.945016588251,2.27512584530418,0.921383523367333,0.717056497703287,0.0749574287419801,0.0333503873194295,5,TRUE
"22","2_35_5",0,0.202188795242074,12.6166194416795,16.0604017625299,2.27971059267489,0.370818031995867,0.837414915312839,0.211747417668709,0.060004723027054,6,FALSE
"23","2_35_6",0,0.35429935473108,12.1686561472292,17.2801358550969,2.27690055072119,0.627282371729665,0.399240036628718,0.0729267996015653,0.176982041364174,5,FALSE
"24","2_36_5",0,0.254785647944793,12.3760458162992,16.6434885140924,2.28199809359258,0.512088487828098,0.63417157377147,0.0593241497920511,0.248625665971534,5,FALSE
"25","2_36_6",0,0.225439632301541,12.6166194829057,16.0604012057319,2.27971067920728,0.484460475458099,0.697298373412108,0.123103817113336,0.0899116838985781,6,FALSE
"26","2_37_1",0,0.313890785391683,12.1686571235266,17.2801369729212,2.27690091228158,0.559462708838095,0.655123663660967,0.321188405333973,0.38831602016769,5,FALSE
"27","2_37_10",0,0.232573836202161,15.2657102280561,15.3711467797185,2.19594034602204,0.385398485790758,0.88549001855935,0.362487578242133,0.136077107465347,6,TRUE
"28","2_37_7",0,0.272431040663237,12.2273086741881,16.5916162884603,2.27971056813974,0.617491020329129,0.622497078441195,0.200392404331566,0.0423786871598212,5,FALSE
"29","2_37_9",0,0.245878344559386,12.4958354019612,16.0050567409074,2.27644818807115,0.524738028239399,0.918669041387938,0.480224485018176,0.0776085910516734,6,FALSE
"30","2_38_2",0,0.243874645646067,12.3760449917609,16.6434879165161,2.28199778661901,0.289708701117312,0.662894713725325,0.211747417668709,0.0523351924432103,6,FALSE
"31","2_38_7",0,0.24720992231714,12.2273077533348,16.5916158385813,2.27971048191222,0.380228852629229,0.654621438698769,0.099684590601533,0.243720748429297,6,FALSE
"32","2_39_2",0,0.253822945384035,12.3760449972837,16.6434886731294,2.28199770682905,0.270258684664514,0.628739765056415,0.131210201727516,0.205213389151349,6,FALSE
"33","2_39_3",0,0.276263143716654,12.1686566639619,17.2801352156531,2.27690091054193,0.778872396707962,0.704265168300587,0.154613625394106,0.269419266310034,5,FALSE
"34","2_39_9",0,0.318723948851549,12.1686561604325,17.2801354472908,2.27690104601876,0.559462708838095,0.572497782086576,0.159735510474622,0.42710328390933,5,FALSE
"35","2_40_3",0,0.229270681397249,12.495835101395,16.005057791007,2.27644820438802,0.473901080144704,0.924082824479172,0.333021087172737,0.250835272813346,6,FALSE
"36","2_40_4",0,0.230375897696054,12.3760466528176,16.6434907449694,2.28199796822995,0.472911840398718,0.823824194060786,0.32265098348919,0.041332970433609,6,FALSE
"37","2_40_6",0,0.291858918806849,12.1686581402553,17.2801386169257,2.27690125635279,0.524738028239399,0.756171449465282,0.276399271963427,0.550472996351114,2,FALSE
"38","2_41_10",0,0.249621087476114,12.3760449531391,16.6434885427942,2.28199768052481,0.270258684664514,0.628739765056415,0.131210201727516,0.174731765945325,6,FALSE
