"","facebook_S_alphas","facebook_S_gammas","facebook_S_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","print_S_alphas","print_S_gammas","print_S_thetas","tv_S_alphas","tv_S_gammas","tv_S_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"55",2.1792975,0.4443113,0.00555705,0.73649825,0.4936186,0.3098623,1.90758,0.5979487,0.251716,0.6951355,0.7641014,0.7077635,0.6092039,0.881396706450341,0.825024061515747,0.91949180729145,0.0748129119060439,0.612001821964459,0.454081925431215,0.612001821964459,0.464965093408932,0,196143.15685057,0.0029339,64656754.1763662,1e-04,1,0.114375114440918,31.1235058307648,"3_30_1",3,30,1,320,FALSE,TRUE,3,0.174363291034753,10,TRUE
"56",2.22919,0.8839358,0.0862497,0.73354,0.4727558,0.3869404,2.3713225,0.9002542,0.1942234,2.101685,0.8171796,0.4306865,0.6600125,-0.0346708735674499,-0.109731747493534,-0.28464157422851,0.237694647469609,1.29361243147046,1.58944671362805,1.29361243147046,0.180249040620246,0,34100053.9175469,0.527354,64656754.1763662,1e-04,1,0.0962221622467041,31.9490540027618,"3_30_8",3,30,8,327,FALSE,TRUE,6,0.234871106817966,8,FALSE
"57",2.71474,0.8008689,0.0795402,0.7701275,0.302940826,0.3386203,1.99876,0.8778115,0.1486915,2.33923,0.7187771,0.3481582,0.6554567,-0.0364037326199664,-0.12751158863492,-0.381630613340338,0.237893608810001,1.31738171992067,1.55667618164005,1.31738171992067,0.16825226447489,0,35738033.6270069,0.55269,64656754.1763662,1e-04,1,0.108029842376709,32.1641409397125,"3_30_10",3,30,10,329,FALSE,TRUE,6,0.227595539576229,8,FALSE
"58",2.1085,0.8465544,0.1724109,0.68172025,0.33173289,0.3295918,1.8462225,0.9482567,0.12420496,1.6724925,0.822592,0.508212,0.6498674,0.045977687341985,-0.020591626191361,-0.186944996151082,0.228516846305823,1.26363994921481,1.52725588206062,1.26363994921481,0.191640313952675,0,10262328.8420541,0.158636,64656754.1763662,1e-04,1,0.115750074386597,34.2295479774475,"3_32_6",3,32,6,347,FALSE,TRUE,3,0.222976872341466,7,FALSE
"59",2.575255,0.8733966,0.1831995,1.4755825,0.5434285,0.3820351,2.0324275,0.6901303,0.2289373,1.02242,0.9663643,0.66756,0.6155564,0.868067387229654,0.82013726627758,0.905724778796109,0.0810367406212853,0.605130967534174,0.473067832616772,0.605130967534174,0.455589519329674,0,318279.835383677,0.00482309,64656754.1763662,1e-04,1,0.111955881118774,34.4682068824768,"3_32_8",3,32,8,349,FALSE,TRUE,2,0.169523083415196,2,FALSE
"60",2.5864875,0.7900063,0.1992327,1.144355,0.3500374,0.3725482,1.98416,0.5979487,0.251716,0.6951355,0.7641014,0.7077635,0.6092039,0.881396624676895,0.825024345837834,0.919491704443378,0.0748129376966792,0.612001324736932,0.454082215472728,0.612001324736932,0.420592074001995,0,196143.15685057,0.0029339,64656754.1763662,1e-04,1,0.108947992324829,34.5829110145569,"3_32_9",3,32,9,350,FALSE,TRUE,2,0.151119801215128,11,TRUE
"61",2.939345,0.7734765,0.1749783,0.747943,0.302381799,0.3455005,2.2881525,0.9800822,0.1330585,2.3521275,0.4477763,0.32960585,0.6340808,-0.0417721404932847,-0.0502096410288806,-0.199079271607404,0.235165463322837,1.36089743275956,1.69725504376733,1.36089743275956,0.160159601077537,0,36625617.4378364,0.566419,64656754.1763662,1e-04,1,0.0949528217315674,35.1959939002991,"3_33_4",3,33,4,356,FALSE,TRUE,6,0.255999528830159,7,FALSE
"62",2.6686975,0.7914273,0.1991031,0.64159075,0.5613156,0.3387091,1.9468075,0.5658838,0.3215524,1.6631325,0.7687886,0.55668,0.6508259,0.617170320053759,0.50704109541604,0.579218037849273,0.144046382782211,0.873903152538385,0.904868912060994,0.873903152538385,0.346175452712428,0,2105466.59217793,0.032467,64656754.1763662,1e-04,1,0.086895227432251,36.0611748695374,"3_34_2",3,34,2,365,FALSE,TRUE,6,0.145941973671659,3,FALSE
"63",1.49786,0.9067131,0.1381461,0.63267325,0.33006262,0.3319702,1.951935,0.9563207,0.1326847,1.6170775,0.8412687,0.5886935,0.6582683,0.0426570233065098,-0.046594133673054,-0.184292494099825,0.228639924533889,1.25627385980508,1.52610520906738,1.25627385980508,0.214570266475117,0,10679581.8040392,0.16509,64656754.1763662,1e-04,1,0.0914177894592285,37.0432448387146,"3_35_1",3,35,1,375,FALSE,TRUE,4,0.224740142861042,6,FALSE
"64",2.5864875,0.7900063,0.1992327,1.26613,0.3500374,0.3725482,1.98416,0.5979487,0.251716,0.6951355,0.7641014,0.7077635,0.6092039,0.881396630936254,0.82502434826343,0.919491706923503,0.0748129357225319,0.612001320495006,0.454082208478537,0.612001320495006,0.433592864443698,0,196143.15685057,0.0029339,64656754.1763662,1e-04,1,0.105572938919067,37.5304369926453,"3_35_6",3,35,6,380,FALSE,TRUE,2,0.15792986189476,11,FALSE
