"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","facebook_S",1,8,0.000215236529048052,8.13256116669364e-06,"[0, 0]",0.000160598439633738,0.000269382300142365,2.15167343690927e-05,1.53350837623043e-06
"2","facebook_S",10,9,0.000194287428550313,8.21394782259378e-06,"[0, 0]",0.000137490016299871,0.000251138402171386,2.32325528226742e-05,1.61730799511983e-06
"3","facebook_S",11,4,9.80936320482654e-05,5.80150288978377e-06,"[0, 0]",6.14192176185475e-05,0.000135271103365288,1.00484977653631e-05,9.4897859876229e-07
"4","facebook_S",2,8,0.000103804099162012,7.93680837447434e-06,"[0, 0]",5.08121980592763e-05,0.000156977603691699,2.09988211624339e-05,1.49659644401304e-06
"5","facebook_S",3,12,9.32708660552667e-05,4.37799923054175e-06,"[0, 0]",5.99125069865171e-05,0.000126672059040351,1.45201807801716e-05,9.67675895092701e-07
"6","facebook_S",4,15,7.22335677709495e-05,4.08090377036573e-06,"[0, 0]",3.82139005369923e-05,0.000106011775964923,1.52693437371026e-05,9.93298615173087e-07
"7","facebook_S",5,6,0.000100761166282293,1.14578075155342e-05,"[0, 0]",2.88758621927743e-05,0.00017316664093521,2.56204364778425e-05,1.97506718886991e-06
"8","facebook_S",6,8,0.000146779399479253,3.28291435370796e-06,"[0, 0]",0.000124846774557738,0.000168760135895632,8.6857749554356e-06,6.19039507563279e-07
"9","facebook_S",7,11,0.000105494187976136,3.55158877960427e-06,"[0, 0]",7.93331503608429e-05,0.000131824926132642,1.12311098558473e-05,7.57111065489834e-07
"10","facebook_S",8,16,8.4804961510832e-05,3.13736790088517e-06,"[0, 0]",5.81531885833315e-05,0.000111650319676096,1.2150973631054e-05,7.85849276311839e-07
"11","facebook_S",9,8,0.000149089247618684,5.36415609176188e-06,"[0, 0]",0.000113014758121867,0.000184767505635473,1.41922230125341e-05,1.01148680342096e-06
"12","ooh_S",1,8,1.26537725620055e-05,4.48354522359729e-07,"[0, 0]",9.65076883156158e-06,1.5648109007562e-05,1.18623456535499e-06,8.45435283506106e-08
"13","ooh_S",10,9,9.53094011145521e-06,7.2627007731018e-07,"[0, 0]",4.47000681443764e-06,1.45186976237516e-05,2.05420198655562e-06,1.43000957398234e-07
"14","ooh_S",11,4,1.47755346916533e-05,1.92546512065146e-07,"[0, 0]",1.35492172725863e-05,1.60002930162543e-05,3.33500341717007e-07,3.14957214858785e-08
"15","ooh_S",2,8,9.16978991887589e-06,3.32894379539291e-07,"[0, 0]",6.94370186277536e-06,1.139660851858e-05,8.80755741112112e-07,6.27719003841297e-08
"16","ooh_S",3,12,1.56526745485578e-05,3.69249157552376e-07,"[0, 0]",1.28726958811172e-05,1.85033292038649e-05,1.22466090975606e-06,8.16157085076751e-08
"17","ooh_S",4,15,1.67326058539033e-05,2.65655120182459e-07,"[0, 0]",1.45309980058797e-05,1.8944445065257e-05,9.93990442765018e-07,6.46608883323971e-08
"18","ooh_S",5,6,1.3319878136634e-05,5.2623991508113e-07,"[0, 0]",9.98733379851955e-06,1.66143928627832e-05,1.17670822259512e-06,9.0711873832868e-08
"19","ooh_S",6,8,1.89653629319712e-05,2.96373829334524e-07,"[0, 0]",1.69743567111379e-05,2.09387522622927e-05,7.84131447527049e-07,5.5885438850595e-08
"20","ooh_S",7,11,1.9632014484743e-05,2.33822921897611e-07,"[0, 0]",1.78984692243627e-05,2.13543255039638e-05,7.39413002352111e-07,4.98452755990437e-08
"21","ooh_S",8,16,1.81091770954857e-05,2.89596343121801e-07,"[0, 0]",1.56425292940624e-05,2.05806092456043e-05,1.1216018140333e-06,7.25382179758433e-08
"22","ooh_S",9,8,1.2487608696314e-05,1.21944916643178e-06,"[0, 0]",4.34092362111222e-06,2.06526838771262e-05,3.22635923086349e-06,2.29944229472131e-07
"23","print_S",1,8,7.30813967068061e-05,7.15326295537304e-06,"[0, 0]",2.51153637877439e-05,0.000120799803605514,1.8925754842568e-05,1.34884797477683e-06
"24","print_S",10,9,8.30426206238672e-05,7.16810287522393e-06,"[0, 0]",3.33619565230688e-05,0.00013254000575408,2.02744566052545e-05,1.41138345900526e-06
"25","print_S",11,4,9.91913070255826e-05,5.11535129179904e-06,"[0, 0]",6.68542628851167e-05,0.000131971586160373,8.86004833595903e-06,8.36741615628025e-07
"26","print_S",2,8,9.57051571515998e-05,3.56093012361135e-06,"[0, 0]",7.19167282554664e-05,0.000119548921596275,9.42133554315411e-06,6.71463277041588e-07
"27","print_S",3,12,8.91823568655899e-05,3.88464770141457e-06,"[0, 0]",5.97406000392692e-05,0.000118977097529768,1.28839188683087e-05,8.58629648758752e-07
"28","print_S",4,15,4.69224659229951e-05,2.16453784585765e-06,"[0, 0]",2.89768700632654e-05,6.49373032149017e-05,8.09895901990501e-06,5.26852032236832e-07
"29","print_S",5,6,7.36280437893447e-05,6.67862728422516e-06,"[0, 0]",3.18462598085406e-05,0.000115951733780312,1.49338646039123e-05,1.15124447656157e-06
"30","print_S",6,8,6.1945790337461e-05,3.24031995813316e-06,"[0, 0]",4.02420179310679e-05,8.3585622375446e-05,8.57308077749956e-06,6.11007737367447e-07
"31","print_S",7,11,4.45405338306325e-05,2.18752024667121e-06,"[0, 0]",2.8477795991534e-05,6.08089101520338e-05,6.91754640721441e-06,4.66325322979077e-07
"32","print_S",8,16,5.8731974639709e-05,2.29986001313813e-06,"[0, 0]",3.91120750034494e-05,7.83283596422843e-05,8.90731952949233e-06,5.76069936341611e-07
"33","print_S",9,8,0.000156864449844466,8.54126623076308e-06,"[0, 0]",9.97984987812759e-05,0.000214049335039312,2.25980663281931e-05,1.61057544358003e-06
"34","tv_S",1,8,2.28317624641964e-05,8.43684944000395e-07,"[0, 0]",1.71983644438091e-05,2.84837766749823e-05,2.2321805467145e-06,1.59088619440426e-07
"35","tv_S",10,9,4.62691141650846e-05,2.04356551237668e-06,"[0, 0]",3.21882759734487e-05,6.04630991060562e-05,5.78007612640206e-06,4.02373488741531e-07
"36","tv_S",11,4,5.45968381988533e-05,1.2999458114726e-06,"[0, 0]",4.63791415661321e-05,6.29271725452921e-05,2.2515721925569e-06,2.12638134992665e-07
"37","tv_S",2,8,3.00541902599665e-05,2.16421425913108e-06,"[0, 0]",1.55538532084083e-05,4.45031076007751e-05,5.72597271352073e-06,4.08092927468771e-07
