"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","tv_S","ooh_S","print_S","facebook_S","cluster","top_sol"
"1","1_11_4",0,0.586968233666956,0.551740133482357,0.455930296857377,0.0715018534855693,0.998390261926011,0.12050971758159,0.609149761816525,0.474124909501156,10,FALSE
"2","1_26_3",0,0.547438367069648,0.663697881055868,0.600730377291758,0.102572970641444,0.843358811800949,0.150742667809827,0.137530671194308,0.671166697952887,10,FALSE
"3","1_26_6",0,0.548805680962988,0.612581364171218,0.479365290393584,0.0816473883642454,0.615709123470115,0.13095631326796,0.327432627432068,0.80552197543108,10,FALSE
"4","1_29_3",0,0.567643222952599,0.612581343558711,0.479365209348561,0.0816473833843894,0.615709123470115,0.0795642281519888,0.327432627432068,0.80552197543108,10,FALSE
"5","1_31_8",0,0.554659621532317,0.663697854942483,0.600730486556261,0.102572960034212,0.843358811800949,0.150742667809827,0.137530671194308,0.780769938977833,10,FALSE
"6","1_34_8",0,0.443071527922011,0.612581690064366,0.479365644048688,0.0816473948047988,0.320867308122731,0.305936288571402,0.117574348384195,0.777766503476549,1,FALSE
"7","1_37_2",0,0.43301325999682,0.613162653929565,0.49935347681976,0.0859728661742245,0.217248696114766,0.31490650312666,0.102275769455646,0.78714627147018,1,FALSE
"8","1_38_2",0,0.514673019451276,0.544819859673657,0.463282013665271,0.0807426447932736,0.66802115278286,0.20071360694056,0.297833735723001,0.653665080392741,10,FALSE
"9","1_39_10",0,0.390011247285017,0.613162803118389,0.499353819957423,0.0859728690609318,0.217248696114766,0.452002095740572,0.102275769455646,0.78714627147018,1,FALSE
"10","1_43_2",0,0.472023723658655,0.693104346590039,0.635186440939562,0.107523281443464,0.673296657276529,0.305262796607481,0.256383695653322,0.593536254217415,10,FALSE
"11","1_43_7",0,0.485541547080349,0.544819957122351,0.463282111548016,0.0807426481094863,0.66802115278286,0.271029486721101,0.222904813952762,0.653665080392741,10,FALSE
"12","1_45_4",0,0.36678782581215,0.613162863402739,0.499353980348463,0.085972868121582,0.217248696114766,0.535008459994891,0.102275769455646,0.78714627147018,1,TRUE
"13","2_19_5",0,0.499319241003065,0.612332161197096,0.529171238830989,0.0921860594614179,0.402015016871099,0.151799358951438,0.454418231103078,0.380244974761659,2,FALSE
"14","2_22_2",0,0.492435652149441,0.612332220475754,0.529171278219997,0.0921860608633606,0.402015016871099,0.165679325283594,0.444141772862778,0.380244974761659,2,FALSE
