"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","tv_S","ooh_S","print_S","facebook_S","cluster","top_sol"
"1","1_26_3",0,0.599248160408051,0.502879960315673,0.456491617863561,0.0741091784605418,0.723390132137653,0.202461956169027,0.329099159252498,0.791723768808541,1,TRUE
"2","1_33_1",0,0.606953172481657,0.496551328818037,0.446492385949631,0.0733502085164719,0.509538938146928,0.121571298392934,0.392837681417062,0.649081487615532,1,FALSE
"3","1_36_4",0,0.551408268918813,0.481090682108515,0.422635471445861,0.0726305528101418,0.494248206049192,0.150044385460048,0.388755607947712,0.179139529387836,3,FALSE
"4","1_43_9",0,0.602971695977017,0.475194701633645,0.43478882900717,0.0720154647501856,0.374318474621285,0.0663108598887622,0.287648193100876,0.412672373400063,3,FALSE
"5","1_45_11",0,0.657294001227938,0.492104812656003,0.443904952982686,0.0715208632297605,1,0.190462669005469,0.377688252546722,0.351025995457684,1,FALSE
"6","1_48_8",0,0.677303431163075,0.490416251840987,0.444610157098462,0.0712526454826403,0.876461257308627,0.127055919635961,0.359580474438701,0.334179934014737,1,FALSE
"7","1_51_5",0,0.668173283073488,0.488469965722622,0.443865008830198,0.0710064513122479,0.889039716472707,0.139666380986487,0.39498693687597,0.362501032692983,1,FALSE
"8","1_53_2",0,0.340400884452532,0.705855838653057,0.689781038969776,0.0968458180584271,0.594874542821494,0.798574213683171,0.531633537574599,1,4,FALSE
"9","1_56_10",0,0.669251895408382,0.488500535632414,0.443893909565488,0.0710042242686964,0.888869188100042,0.138124849614032,0.394522971353031,0.363451889374352,1,FALSE
"10","1_57_4",0,0.400633319819981,0.641571232612995,0.607559964855475,0.0902720322601269,0.833035771456365,0.745225251598399,1,0.657935253064384,4,FALSE
"11","1_61_10",0,0.410742438213395,0.6232360687051,0.573154064641254,0.0881525348614694,0.849913909687015,0.599799833627474,0.564323528904668,0.373137235207558,4,FALSE
"12","1_76_8",0,0.419094150049347,0.505124489321104,0.441260902272988,0.0740641439998294,0.339326942652427,0.285550082082054,0.357637553093185,0.488245530543291,3,FALSE
"13","1_78_5",0,0.234866519566468,0.772117606473474,0.738192603679626,0.110002650449315,0.377082368898219,0.896247154779251,0.615564334816293,0.616307404134945,4,FALSE
"14","1_78_6",0,0.302392230551443,0.72784187742282,0.708219342163794,0.100755209554125,0.637374418457728,0.816743921217015,0.44143002415406,0.740569273138646,4,FALSE
"15","1_78_8",0,0.419801204651858,0.5613265639339,0.522684544518783,0.0802508185220186,0.847806762343022,0.677925431285338,0.869274298498282,0.728515422383916,4,FALSE
"16","1_81_3",0,0.32448076801686,0.727576748732068,0.71863591774223,0.100978245815122,0.542292906009705,0.771943082698642,0.34874893183814,0.973190913455051,4,FALSE
"17","1_82_8",0,0.277721018505751,0.753383609984531,0.744659696132587,0.108544162574902,0.694632944210363,0.96195702046715,0.749327625270605,0.522789678951411,4,FALSE
"18","1_83_10",0,0.263022083448492,0.769168161057122,0.74561187991593,0.109681576832832,0.414596623818399,0.973684460012252,0.890153989132692,0.631180296405288,4,FALSE
"19","1_85_2",0,0.331797937134516,0.621383632543867,0.550001777149159,0.0874051053045778,0.443321869171861,0.601136423042533,0.657856018362282,0.525380552720068,4,FALSE
"20","1_85_3",0,0.325994660363352,0.611777644535615,0.535358600827438,0.0843153977218311,0.309120304956595,0.604412437195158,0.605263270927669,0.673630785892374,4,FALSE
"21","1_85_9",0,0.451404660090042,0.516496433577669,0.448505372953727,0.0746103397134218,0.341465353607577,0.251455179224284,0.321035211596303,0.55297070720908,3,FALSE
"22","1_86_7",0,0.283050582089037,0.577739702243937,0.491114292431706,0.0809287993731363,0.269301756659252,0.54665602699713,0.502485783559382,0.453378738797981,3,FALSE
"23","1_87_10",0,0.360551920250841,0.619215722986196,0.555554272807716,0.0869818230738398,0.572736925772024,0.603940593326598,0.674792274416907,0.530725290600549,4,FALSE
"24","1_87_7",0,0.395913018708321,0.508420655957424,0.434046460633535,0.0746763896172782,0.257945672090956,0.286098952801221,0.326989037160047,0.500345185209772,3,FALSE
"25","1_87_8",0,0.483437409604852,0.508278022370096,0.438794778999086,0.0750170419221449,0.525687305728713,0.248896801586639,0.422425221977088,0.18508067068288,3,FALSE
"26","1_88_2",0,0.287658307609671,0.753351305459031,0.743514480125434,0.108955596276508,0.652737766091056,0.888459310031652,0.7458042675919,0.505712921477113,4,FALSE
"27","1_88_5",0,0.298030435863024,0.564481633732028,0.482285718199804,0.0795758909761096,0.33781622525718,0.535177341211654,0.464085091714366,0.477130489336398,3,FALSE
"28","1_88_6",0,0.480007520620002,0.515720960084652,0.455823963738525,0.0743114055639071,0.465698430148081,0.260276815285082,0.333257856520273,0.554540964091028,3,FALSE
"29","1_89_7",0,0.379237581126514,0.656336127233152,0.625321040210538,0.0936377093117116,0.930868103880752,0.812138964918527,0.941653117153898,0.382084062309947,4,FALSE
"30","1_90_10",0,0.248482194772282,0.688363095460376,0.625723543093468,0.0988997873597963,0.419160993954259,0.7830989036288,0.622502955380852,0.455567903360277,4,FALSE
"31","1_90_4",0,0.453174261804258,0.5054121818479,0.43606853803214,0.0745977929404289,0.277271822454614,0.229079938212629,0.328233016713819,0.550096818757174,3,FALSE
"32","1_90_5",0,0.527416418576765,0.48922286135038,0.441554743375524,0.0730636776973072,0.260497572465041,0.180705547231273,0.188960361435398,0.761142428601964,3,FALSE
"33","1_90_8",0,0.388955728153437,0.611989604562319,0.534678966411835,0.0843136272273673,0.308328843255847,0.454472978040932,0.598096002482836,0.682320871212625,4,FALSE
"34","1_91_3",0,0.425658416387788,0.518552029600429,0.460802347936112,0.0743308088322893,0.347190116180581,0.359857558622253,0.31339429207915,0.768946823797979,3,FALSE
"35","3_35_6",0,0.417677176013913,0.530437243301055,0.443564643625598,0.0771944236684264,0.410132481416981,0.345052032926472,0.597431254402152,0.362429252497301,3,FALSE
"36","3_52_10",0,0.348814465010232,0.660512979389812,0.586947750202997,0.0951668211051747,0.477050144108243,0.477984461263298,0.464078831437613,0.387563157871438,3,FALSE
"37","3_62_11",0,0.399336047681474,0.519332937047863,0.435151427859229,0.0765439724339582,0.36933038251609,0.266307763298789,0.405451851480527,0.114257069822399,3,FALSE
"38","3_64_1",0,0.201332942299299,0.759284884856508,0.726831975579564,0.110772544465879,0.53579231784498,0.948725015584573,0.421545813095983,0.477820882035515,4,FALSE
"39","3_65_8",0,0.357190542014289,0.520337775134805,0.436430217157636,0.0764950318768301,0.369137204048613,0.31731598818422,0.382740070210421,0.113898052071883,3,FALSE
"40","3_67_3",0,0.179064420496129,1.31579825133799,1.63663371536464,0.235070919392264,0,0,0,0.012140936249317,2,FALSE
"41","3_68_5",0,0.421166014905578,0.520023821181808,0.430996928843046,0.0767786624166977,0.310496852893088,0.221556538999763,0.455706211419676,0.119598070082116,3,FALSE
"42","3_68_8",0,0.223527291905071,0.837566308872005,0.818018202825397,0.123179374394416,0.430054439668826,0.810705563165812,0.414580641630687,0.53672778132102,4,FALSE
"43","3_69_6",0,0.230529987445225,0.7645601429166,0.732987114744994,0.110257606126729,0.534945437414182,0.903921772472846,0.411361960307103,0.598076485087922,4,FALSE
