"","facebook_S_alphas","facebook_S_gammas","facebook_S_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","print_S_alphas","print_S_gammas","print_S_thetas","tv_S_alphas","tv_S_gammas","tv_S_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",1.014835,0.5418521,0.1445655,0.55464225,0.750709,0.2516326,2.332085,0.31135064,0.3363229,2.38537,0.5854817,0.738382,0.6461621,0.899177890031431,0.835096300721848,0.903891046270656,0.0741091784605418,0.502879960315673,0.456491617863561,0.502879960315673,0.599248160408051,0,113347.47187606,0.00165323,64656754.1763662,1e-04,1,0.115653038024902,35.9109070301056,"1_26_3",1,26,3,278,FALSE,TRUE,3,0.156232208194015,1,TRUE
"2",1.4631875,0.6251311,0.2046204,0.589872,0.4178926,0.1875913,1.515035,0.8909218,0.3316648,1.9304375,0.6789926,0.5998805,0.6427298,0.901232402522345,0.844245193015804,0.897463143135966,0.0733502085164719,0.496551328818037,0.446492385949631,0.496551328818037,0.606953172481657,0,93873.5119738041,0.00135201,64656754.1763662,1e-04,1,0.165733814239502,50.3784790039062,"1_33_1",1,33,1,353,FALSE,TRUE,3,0.15875666511724,1,FALSE
"3",1.366225,0.9745473,0.04176,0.663492,0.36620943,0.3409768,1.7776325,0.5717848,0.3359953,2.56505,0.6111248,0.7203945,0.6529505,0.902671599601569,0.850604335351964,0.908205287187287,0.0726305528101418,0.481090682108515,0.422635471445861,0.481090682108515,0.551408268918813,0,55737.9876945955,0.000762136,64656754.1763662,1e-04,1,0.287286043167114,58.7448551654816,"1_36_4",1,36,4,389,FALSE,TRUE,2,0.140255696267202,3,FALSE
"4",0.5378475,0.986637,0.01897605,0.69475825,0.5071272,0.3456073,1.474545,0.5726213,0.3152401,2.0681525,0.6734591,0.668059,0.6443027,0.904794219088058,0.852753520937114,0.912812346579496,0.0720154647501856,0.475194701633645,0.43478882900717,0.475194701633645,0.602971695977017,0,7979.37141248243,2.34136e-05,64656754.1763662,1e-04,1,0.156261920928955,78.5408580303192,"1_43_9",1,43,9,471,FALSE,TRUE,1,0.15740682230734,3,FALSE
"5",0.7817075,0.8730319,0.001366446,0.69393875,0.5275301,0.3718966,1.6196375,0.3294182,0.2772001,1.9381675,0.4072225,0.7361205,0.6437432,0.906097473077077,0.842087334560345,0.909117928758037,0.0715208632297605,0.492104812656003,0.443904952982686,0.492104812656003,0.657294001227938,0,33829.6858291251,0.000423262,64656754.1763662,1e-04,1,0.19355583190918,83.5691771507263,"1_45_11",1,45,11,495,FALSE,TRUE,3,0.175481636126537,1,FALSE
"6",0.7817075,0.8730319,0.001366446,0.69393875,0.4736623,0.3226207,1.919725,0.9089006,0.36271,2.2201375,0.4072225,0.7361205,0.6437432,0.906800459483341,0.843169167787949,0.908828942034737,0.0712526454826403,0.490416251840987,0.444610157098462,0.490416251840987,0.677303431163075,0,33829.6858291251,0.000423262,64656754.1763662,1e-04,1,0.255628824234009,91.0205781459808,"1_48_8",1,48,8,525,FALSE,TRUE,5,0.182134147068884,1,FALSE
"7",0.7817075,0.8730319,0.001366446,0.69393875,0.4736623,0.3226207,1.919725,0.9089006,0.36271,2.2201375,0.4072225,0.7361205,0.6551792,0.906761325856396,0.843465333310437,0.886568347520437,0.0710064513122479,0.488469965722622,0.443865008830198,0.488469965722622,0.668173283073488,0,33829.6858291251,0.000423262,64656754.1763662,1e-04,1,0.29577898979187,98.6740081310272,"1_51_5",1,51,5,555,FALSE,TRUE,3,0.179097655168531,1,FALSE
"8",2.5787475,0.660304,0.1792866,0.5516285,0.36355055,0.3713773,2.118635,0.6742277,0.3341794,2.8151375,0.5315985,0.5558205,0.6558554,0.826554827637593,0.673136200718986,0.726060320190501,0.0968458180584271,0.705855838653057,0.689781038969776,0.705855838653057,0.340400884452532,0,807864.186646545,0.0123959,64656754.1763662,1e-04,1,0.310791969299316,105.081748008728,"1_53_2",1,53,2,574,FALSE,TRUE,6,0.079402563141068,4,FALSE
"9",0.7817075,0.8730319,0.001366446,0.69393875,0.5106412,0.3226207,1.919725,0.9089006,0.36271,2.2201375,0.4072225,0.7361205,0.6551792,0.906767174432909,0.84344573988315,0.886553575619869,0.0710042242686964,0.488500535632414,0.443893909565488,0.488500535632414,0.669251895408382,0,33829.6858291251,0.000423262,64656754.1763662,1e-04,1,0.13661003112793,110.572319984436,"1_56_10",1,56,10,615,FALSE,TRUE,4,0.179456239013904,1,FALSE
"10",2.9742175,0.6886015,0.198303,0.5456725,0.3525644,0.3600949,1.00065,0.8414472,0.3376789,2.60902,0.5890447,0.692329,0.6557399,0.849302200196692,0.729962196769031,0.787474651881644,0.0902720322601269,0.641571232612995,0.607559964855475,0.641571232612995,0.400633319819981,0,604076.133245395,0.00924374,64656754.1763662,1e-04,1,0.123744964599609,111.204550981522,"1_57_4",1,57,4,620,FALSE,TRUE,6,0.0937583373859338,4,FALSE
